cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2021,CORP,53972994,,5,0.0113,6,0.0226,41616700.08,45620370.08,34181977.08,46251902.78,0,1
12/31/2021,CORP,93494704,,5,0.0113,6,0.0226,1475296,2252197.2,1624162.4,1277916.13,0,1
12/31/2021,CORP,32351369,,2,0.0015,3,0.0028,143848,180007.9,170967.9,53288.19,0,1
12/31/2021,CORP,44675153,,3,0.004,5,0.0113,0,170000,127500,93058.9,0,1
12/31/2021,CORP,17713076,,4,0.0057,5,0.0113,251162,900006,737795,543865,0,1
12/31/2021,CORP,41306224,,3,0.0028,4,0.0057,53899.9,53899.9,53899.9,30356.4,0,1
12/31/2021,CORP,40274049,,5,0.009774,6,0.0226,420843,420843,420843,304407,0,1
12/31/2021,CORP,14318010,,7,0.0453,7,0.0453,1062500,1062500,1062500,1149497,0,1
12/31/2021,CORP,47764634,,3,0.0021,3,0.0021,187052,187052,187052,60933.3,0,1
12/31/2021,CORP,21006578,,4,0.0054,4,0.0054,1083110,1283109.6,316623,163071.7,0,1
12/31/2022,CORP,66113961,,4,0.005853,4,0.005853,0,600000,450000,378171,0,1
12/31/2022,CORP,85097149,,4,0.0061,4,0.0061,0,150000,112500,65329.7,0,1
12/31/2022,CORP,77999351,,5,0.0121,5,0.0121,1365986,1365986,1365986,775442.1,0,1
12/31/2022,CORP,30126074,,6,0.0226,6,0.0226,0,21237,0,0,0,1
12/31/2022,CORP,37074343,,9,0.17095,9,0.17095,12569.4,12569.4,2513.89,6670.87,0,1
12/31/2022,CORP,96210802,,5,0.011152,1,0.0007,794392,19999992,794392,217406,0,1
12/31/2022,CORP,61166023,,3,0.002418,3,0.002418,946.2,20000,15236.55,6136.49,0,1
12/31/2022,CORP,63133672,,3,0.0031,3,0.0031,0,500000,375000,124105,0,1
12/31/2022,CORP,45614922,,2,0.0014,2,0.0014,0,300000,225000,62065.9,0,1
